#Date/Time of Update: 2017-05-02 3:46:42 PM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location
,25-10-16,7:30PM,83,NYK,New York,Knicks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
,25-10-16,10:00PM,98,UTA,Utah,Jazz,97,POR,Portland,Trail Blazers,Moda Center
,25-10-16,10:30PM,106,SAS,San Antonio,Spurs,101,GSW,Golden State,Warriors,Oracle Arena
,26-10-16,7:00PM,92,MIA,Miami,Heat,95,ORL,Orlando,Magic,Amway Center
,26-10-16,7:00PM,108,DAL,Dallas,Mavericks,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
,26-10-16,7:30PM,84,BRO,Brooklyn,Nets,82,BOS,Boston,Celtics,TD Garden
,26-10-16,7:30PM,88,DET,Detroit,Pistons,81,TOR,Toronto,Raptors,Air Canada Centre
,26-10-16,8:00PM,93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
,26-10-16,8:00PM,100,MIN,Minnesota,Timberwolves,107,MEM,Memphis,Grizzlies,FedEx Forum
,26-10-16,8:00PM,99,DEN,Denver,Nuggets,110,NOP,New Orleans,Pelicans,Smoothie King Center
,26-10-16,8:00PM,96,OKL,Oklahoma City,Thunder,85,PHI,Philadelphia,76ers,Wells Fargo Center
,26-10-16,10:00PM,103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
,26-10-16,10:30PM,109,HOU,Houston,Rockets,105,LAL,Los Angeles,Lakers,Staples Center
,27-10-16,7:30PM,94,WAS,Washington,Wizards,91,ATL,Atlanta,Hawks,Philips Arena
,27-10-16,8:00PM,82,BOS,Boston,Celtics,89,CHI,Chicago,Bulls,United Center
,27-10-16,10:30PM,106,SAS,San Antonio,Spurs,103,SAC,Sacramento,Kings,Sleep Train Arena
,27-10-16,10:30PM,102,LAC,Los Angeles,Clippers,97,POR,Portland,Trail Blazers,Moda Center
,28-10-16,7:00PM,86,CLE,Cleveland,Cavaliers,81,TOR,Toronto,Raptors,Air Canada Centre
,28-10-16,7:30PM,87,IND,Indiana,Pacers,84,BRO,Brooklyn,Nets,Barclays Center
,28-10-16,7:30PM,95,ORL,Orlando,Magic,88,DET,Detroit,Pistons,Palace of Auburn Hills
,28-10-16,8:00PM,104,PHX,Phoenix,Suns,96,OKL,Oklahoma City,Thunder,Chesapeake Energy Arena
,28-10-16,8:00PM,93,CHA,Charlotte,Hornets,92,MIA,Miami,Heat,American Airlines Arena
