shoot player,LAYUP %,FG%,3FG%,MID%,FGA
Giannis Antetokounmpo,0.999753489,0.521877486,0.272222222,0.336134454,1257
Goran Dragic,1,0.474666667,0.403448276,0.418803419,1125
Kyrie Irving,1,0.472535211,0.401360544,0.476744186,1420
Stephen Curry,0.999980964,0.467451524,0.410126582,0.431818182,1444
Isaiah Thomas,1,0.463000679,0.379256966,0.449438202,1473
Mike Conley,1,0.459861249,0.408114558,0.50862069,1009
John Wall,0.999980979,0.451185495,0.327205882,0.38996139,1434
Dennis Schroder,0.999980964,0.451028807,0.340136054,0.465517241,1215
Damian Lillard,1,0.443922095,0.369602763,0.519685039,1489
Kemba Walker,1,0.44314266,0.398671096,0.420731707,1451
