,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Location
0,19/10/2015,20:17:50,malay,male,moderate,28.0,yes,young,20.0,2.0,9.0,2.91231642,101.6579478,"Balai Bomba dan Penyelamat Cyberjaya, Persiaran APEC, Cyber 6, Cyberjaya, Sepang, Selangor, 62200, Malaysia"
1,19/10/2015,20:28:42,malay,male,thin,32.0,no,no_kids,19.0,4.0,21.0,2.922506027,101.6431294,"Persiaran Multimedia, Cyber 12, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
2,19/10/2015,20:58:31,malay,female,moderate,30.0,no,no_kids,18.0,2.0,13.0,2.93553339,101.7371698,"Sepang, Selangor, 63450, Malaysia"
3,19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,13.0,2.0,16.0,2.949923904,101.637069,"Cyber 2, Sepang, Selangor, 47120, Malaysia"
4,19/10/2015,21:40:28,indian,male,moderate,34.0,no,no_kids,15.0,1.0,13.0,2.903529733,101.6612493,"Cyber Heights Villa, Cyberjaya, Sepang, Selangor, 62200, Malaysia"
5,19/10/2015,23:45:38,malay,male,fat,50.0,no,no_kids,35.0,5.0,16.0,2.928514231,101.72064,"Sepang, Selangor, 62000, Malaysia"
6,19/10/2015,23:53:38,malay,female,fat,45.0,no,no_kids,30.0,3.0,17.0,2.970783341,101.6744587,"Presint 11, Putrajaya, 62300, Malaysia"
7,20/10/2015,0:24:01,indian,male,thin,49.0,no,no_kids,46.0,0.0,16.0,2.951176457,101.7465264,"Kampung Dato' Abu Bakar Baginda, Sepang, Selangor, 43650, Malaysia"
8,20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,60.0,4.0,17.0,2.955301618,101.7039608,"Persiaran Utara, Presint 12, Putrajaya, 62502, Malaysia"
9,20/10/2015,1:17:50,chinese,female,moderate,33.0,no,no_kids,23.0,0.0,10.0,2.9086064,101.6668225,"Persiaran Tasik, Cyber 7, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
10,20/10/2015,3:07:16,malay,female,moderate,45.0,no,no_kids,56.0,2.0,21.0,2.967033313,101.6523208,"Sierra 3, 16 Sierra, Sepang, Selangor, 47110, Malaysia"
11,20/10/2015,7:23:12,malay,male,moderate,37.0,no,no_kids,35.67082167387433,5.0,18.0,2.962150972,101.7110964,"Palm Garden Golf Club, Persiaran Utara, IOI Resort City, Sepang, Selangor, 62500, Malaysia"
12,20/10/2015,7:23:12,malay,female,moderate,39.40782991962665,no,no_kids,15.0,1.0,7.0,2.928768234,101.6912621,"Presint 2, Putrajaya, 62675, Malaysia"
13,20/10/2015,9:06:14,malay,male,moderate,32.0,no,no_kids,15.0,2.0,7.0,2.941112411,101.7132003,"Presint 1, Putrajaya, 62000, Malaysia"
14,20/10/2015,10:05:17,malay,female,moderate,55.0,yes,young,23.0,1.0,11.0,2.939276297,101.6442602,"Kelab Komuniti Taman Tasik Cyberjaya, Persiaran Semarak Api, Cyber 11, Cyberjaya, Sepang, Selangor, 63200, Malaysia"
15,20/10/2015,10:41:35,malay,male,thin,33.0,no,no_kids,39.0,0.0,9.0,2.957245277,101.6766783,"Jalan P11A, Presint 11, Putrajaya, 61250, Malaysia"
16,20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,46.0,3.0,11.0,2.970509739,101.6621115,"Sierra 12, 16 Sierra, Sepang, Selangor, 47110, Malaysia"
17,20/10/2015,10:57:47,malay,male,fat,39.40782991962665,yes,toddler,53.0,3.0,14.045362392295996,2.921546642,101.6680438,"Cyberview Lodge Resort and Spa, Persiaran Tasik, Cyber 7, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
18,20/10/2015,11:13:26,malay,female,fat,55.0,yes,no_kids,48.0,2.0,16.0,2.943176549,101.7346564,"Jalan Merab 1, Sepang, Selangor, 62050, Malaysia"
19,20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,35.0,3.0,8.0,2.915475549,101.6616564,"CX2 Computer Exchange, Jalan Teknologi 2, Cyber 6, Cyberjaya, Sepang, Selangor, 63000, Malaysia"
20,20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,35.67082167387433,5.0,17.0,2.943831439,101.6823814,"Surau Al-Falah, Lebuh Sentosa, Putrajaya, 62250, Malaysia"
21,20/10/2015,11:27:57,malay,male,moderate,53.0,yes,baby,15.0,3.0,19.0,2.934433738,101.7258593,"Presint 15, Putrajaya, 62050, Malaysia"
22,20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,16.0,2.0,14.045362392295996,2.967766774,101.6855821,"Presint 11, Putrajaya, 62300, Malaysia"
23,20/10/2015,13:36:46,chinese,female,thin,29.0,no,no_kids,54.0,3.0,10.0,2.951222745,101.7235245,"Presint 14, Putrajaya, 62050, Malaysia"
24,20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,30.0,3.0,20.0,2.939402932,101.6633933,"LimKokWing University College, Jalan Teknokrat 1/1, Cyber 4, Cyberjaya, Sepang, Selangor, 61250, Malaysia"
25,20/10/2015,13:44:03,chinese,female,moderate,42.0,no,no_kids,22.0,2.0,13.0,2.947776713,101.6978995,"Persiaran Sultan Salahuddin Abdul Aziz Shah, Presint 1, Putrajaya, 62514, Malaysia"
26,20/10/2015,13:47:46,chinese,male,thin,41.0,no,no_kids,50.0,3.0,18.0,2.9662059,101.6346878,"Kampung Pulau Meranti, Sepang, Selangor, 47120, Malaysia"
27,20/10/2015,14:39:57,malay,male,thin,36.0,yes,young,20.0,0.0,13.0,2.966805235,101.691886,"Presint 13, Putrajaya, 62502, Malaysia"
28,20/10/2015,14:54:19,indian,male,fat,39.40782991962665,no,no_kids,60.0,3.0,19.0,2.904241872,101.6693722,"Putrajaya Recreational Airfield, Jalan P6, Presint 6, Putrajaya, 62200, Malaysia"
29,20/10/2015,14:54:19,indian,male,thin,42.0,no,no_kids,34.0,3.0,12.0,2.953809463,101.6864277,"Presint 10, Putrajaya, 61250, Malaysia"
30,20/10/2015,15:26:05,malay,female,fat,32.0,no,no_kids,58.0,0.0,10.0,2.971703373,101.6786169,"Presint 11, Putrajaya, 62300, Malaysia"
31,20/10/2015,15:45:51,chinese,male,thin,40.0,yes,toddler,54.0,2.0,18.0,2.925992147,101.7259705,"Puncak Pinggiran Putra, Sepang, Selangor, 63450, Malaysia"
32,20/10/2015,15:52:41,foreigner,male,moderate,39.0,no,no_kids,43.0,5.0,17.0,2.94146915,101.7094355,"Kompleks E, Laluan Laman Putra 4, Presint 1, Putrajaya, 62000, Malaysia"
33,20/10/2015,16:01:30,malay,female,fat,55.0,no,no_kids,58.0,2.0,11.0,2.959500865,101.7081422,"Presint 12, Putrajaya, 62502, Malaysia"
34,20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,56.0,1.0,15.0,2.932691012,101.6432777,"Persiaran Semarak Api, Cyber 11, Cyberjaya, Sepang, Selangor, Malaysia"
35,20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,16.0,1.0,20.0,2.943731299,101.7349606,"Jalan Merab 1, Sepang, Selangor, 62050, Malaysia"
36,20/10/2015,18:34:26,malay,male,fat,35.0,no,no_kids,41.0,1.0,17.0,2.932445148,101.7365378,"Kampung Sungai Merab Ulu, Sepang, Selangor, 63450, Malaysia"
37,20/10/2015,18:37:46,chinese,female,thin,35.0,no,no_kids,31.0,3.0,9.0,2.938365035,101.7021395,"Laluan Laman Putra 2, Presint 1, Putrajaya, 62519, Malaysia"
38,20/10/2015,18:48:34,malay,female,moderate,41.0,no,no_kids,38.0,5.0,9.0,2.961409415,101.6954655,"Presint 13, Putrajaya, 62502, Malaysia"
39,20/10/2015,18:57:46,malay,female,fat,31.0,no,no_kids,51.0,4.0,18.0,2.909508314,101.7448743,"Taman Sentosa Mekar, Sepang, Selangor, 63450, Malaysia"
40,20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,23.0,1.0,18.0,2.920341513,101.7127793,"Persiaran Timur, Kampung Limau Manis, Sepang, Selangor, 62000, Malaysia"
41,20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,37.0,5.0,12.0,2.938475943,101.6852813,"Kompleks Sekolah Bestari Presint 8, Jalan P8 A, Presint 8, Putrajaya, 62250, Malaysia"
42,20/10/2015,20:21:03,malay,female,moderate,33.0,no,no_kids,15.0,0.0,14.0,2.920208022,101.7141611,"Persiaran Timur, Kampung Limau Manis, Sepang, Selangor, 62000, Malaysia"
43,20/10/2015,20:21:03,malay,female,fat,51.0,no,no_kids,60.0,2.0,18.0,2.911034456,101.7459985,"Taman Sentosa Mekar, Sepang, Selangor, 63450, Malaysia"
44,20/10/2015,20:21:03,foreigner,female,moderate,46.0,no,no_kids,53.0,2.0,11.0,2.962275698,101.6918951,"Presint 11, Putrajaya, 61250, Malaysia"
45,20/10/2015,20:32:37,malay,female,moderate,51.0,no,no_kids,35.0,5.0,21.0,2.932841078,101.6624616,"Cyberjaya, Sepang, Selangor, 61250, Malaysia"
46,20/10/2015,20:44:46,indian,male,fat,39.40782991962665,no,no_kids,50.0,5.0,14.0,2.938229596,101.7328228,"Presint 15, Putrajaya, 62050, Malaysia"
47,20/10/2015,20:48:32,malay,female,fat,28.0,no,no_kids,39.0,2.0,11.0,2.922380929,101.687864,"Bahagian Pinjaman Perumahan, Jalan P2 S, Presint 2, Putrajaya, 62100, Malaysia"
48,20/10/2015,21:39:30,indian,male,moderate,49.0,no,no_kids,31.0,3.0,14.0,2.919551168,101.668476,"Perdana Lakeview East, Cyberjaya, Sepang, Selangor, 62100, Malaysia"
49,20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,32.0,5.0,11.0,2.916453312,101.7460087,"Taman Sentosa Mekar, Sepang, Selangor, 63450, Malaysia"
50,20/10/2015,21:05:59,malay,female,fat,39.40782991962665,yes,toddler,24.0,1.0,16.0,2.943119223,101.7154266,"Presint 14, Putrajaya, 62050, Malaysia"
